ticker,exchange,bs_n,bs_first,bs_last,cf_n,cf_first,cf_last,n_assets,n_capex,n_assets_2011_2025,n_capex_2011_2025,both_60q,name,country,currency,exchange_meta,sector,industry,isin,market_cap,exchange_code,smim_sector,latest_assets,size_proxy,isin_clean
ERCB,XETRA,161,1986-03-31,2026-03-31,109,1999-03-31,2026-03-31,124,109,60,60,1,Telefonaktiebolaget LM Ericsson (publ),DE,EUR,XETRA,Technology,Communication Equipment,SE0000108656,,XETRA,technology,299523000000.0,299523000000.0,SE0000108656
NOVO-B,CO,162,1985-09-30,2025-12-31,88,2004-03-31,2025-12-31,107,88,60,60,1,Novo Nordisk A/S,DK,DKK,CO,Healthcare,Drug Manufacturers - General,DK0062498333,,CO,healthcare,298921000000.0,298921000000.0,DK0062498333
DTE,XETRA,116,1997-03-31,2025-12-31,84,2005-03-31,2025-12-31,97,84,60,60,1,Deutsche Telekom AG,DE,EUR,XETRA,Communication Services,Telecom Services,DE0005557508,,XETRA,technology,295222000000.0,295222000000.0,DE0005557508
ORSTED,CO,92,2001-12-31,2025-12-31,94,2001-12-31,2025-12-31,91,94,60,60,1,Orsted A/S,DK,DKK,CO,Utilities,Utilities - Renewable,DK0060094928,,CO,energy,290383000000.0,290383000000.0,DK0060094928
TTE,PA,136,1992-03-31,2025-12-31,92,2003-03-31,2025-12-31,107,92,60,60,1,TotalEnergies SE,FR,EUR,PA,Energy,Oil & Gas Integrated,FR0000120271,,PA,energy,283133000000.0,283133000000.0,FR0000120271
BP-A,LSE,162,1985-09-30,2025-12-31,108,1999-03-31,2025-12-31,123,108,60,60,1,BP p.l.c,GB,GBX,LSE,Energy,Oil & Gas Integrated,GB0001385250,,LSE,energy,275435000000.0,275435000000.0,GB0001385250
BP,LSE,162,1985-09-30,2025-12-31,108,1999-03-31,2025-12-31,123,108,60,60,1,BP PLC,GB,GBX,LSE,Energy,Oil & Gas Integrated,GB0007980591,,LSE,energy,275435000000.0,275435000000.0,GB0007980591
MBG,XETRA,108,1999-03-31,2025-12-31,108,1999-03-31,2025-12-31,108,108,60,60,1,Mercedes-Benz Group AG,DE,EUR,XETRA,Consumer Cyclical,Auto Manufacturers,DE0007100000,,XETRA,consumer,267149000000.0,267149000000.0,DE0007100000
BMW,XETRA,95,2000-12-31,2025-12-31,96,2000-06-30,2025-12-31,95,96,60,60,1,Bayerische Motoren Werke Aktiengesellschaft,DE,EUR,XETRA,Consumer Cyclical,Auto Manufacturers,DE0005190003,,XETRA,consumer,254325000000.0,254325000000.0,DE0005190003
BMW3,XETRA,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,Bayerische Motoren Werke Aktiengesellschaft,DE,EUR,XETRA,Consumer Cyclical,Auto Manufacturers,DE0005190037,,XETRA,consumer,254325000000.0,254325000000.0,DE0005190037
TEL,OL,104,2000-03-31,2025-12-31,102,2000-06-30,2025-12-31,102,102,60,60,1,Telenor ASA,NO,NOK,OL,Communication Services,Telecom Services,NO0010063308,,OL,technology,233687000000.0,233687000000.0,NO0010063308
LUND-B,ST,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,L E Lundbergföretagen AB (publ),SE,SEK,ST,Industrials,Conglomerates,SE0000108847,,ST,industrials,222119000000.0,222119000000.0,SE0000108847
TELIA1,HE,70,2008-06-30,2026-03-31,69,2009-03-31,2026-03-31,67,69,60,60,1,Telia Company AB,FI,EUR,HE,Communication Services,Telecom Services,SE0000667925,,HE,technology,218713000000.0,218713000000.0,SE0000667925
NHY,OL,162,1985-09-30,2025-12-31,120,1994-09-30,2025-12-31,132,120,60,60,1,Norsk Hydro ASA,NO,NOK,OL,Basic Materials,Aluminum,NO0005052605,,OL,industrials,213133000000.0,213133000000.0,NO0005052605
ASSA-B,ST,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,ASSA ABLOY AB (publ),SE,SEK,ST,Industrials,Security & Protection Services,SE0007100581,,ST,industrials,210080000000.0,210080000000.0,SE0007100581
8TI,XETRA,137,1991-03-31,2025-12-31,78,1998-06-30,2025-12-31,96,78,57,57,1,Stellantis NV,DE,EUR,XETRA,Consumer Cyclical,Auto Manufacturers,NL00150001Q9,,XETRA,consumer,206886000000.0,206886000000.0,NL00150001Q9
ATCO-B,ST,69,2008-06-30,2025-12-31,68,2009-03-31,2025-12-31,66,68,60,60,1,Atlas Copco AB Series B,SE,SEK,ST,Industrials,Specialty Industrial Machinery,SE0017486897,,ST,industrials,198969000000.0,198969000000.0,SE0017486897
ATCO-A,ST,69,2008-06-30,2025-12-31,68,2009-03-31,2025-12-31,66,68,60,60,1,Atlas Copco AB Series A,SE,SEK,ST,Industrials,Specialty Industrial Machinery,SE0017486889,,ST,industrials,198969000000.0,198969000000.0,SE0017486889
ENL,XETRA,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,Enel SpA,DE,EUR,XETRA,Utilities,Utilities - Diversified,IT0003128367,,XETRA,energy,194300000000.0,194300000000.0,IT0003128367
SAND,ST,97,2000-06-30,2026-03-31,97,2000-06-30,2026-03-31,97,97,60,60,1,Sandvik AB,SE,SEK,ST,Industrials,Specialty Industrial Machinery,SE0000667891,,ST,industrials,180470000000.0,180470000000.0,SE0000667891
HM-B,ST,69,2009-02-28,2026-02-28,69,2009-02-28,2026-02-28,66,69,60,60,1,H & M Hennes & Mauritz AB (publ),SE,SEK,ST,Consumer Cyclical,Apparel Manufacturing,SE0000106270,,ST,consumer,173767000000.0,173767000000.0,SE0000106270
SKA-B,ST,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,Skanska AB (publ),SE,SEK,ST,Industrials,Engineering & Construction,SE0000113250,,ST,industrials,160331000000.0,160331000000.0,SE0000113250
DSV,CO,96,1999-12-31,2025-12-31,93,2000-06-30,2025-12-31,96,93,60,60,1,DSV Panalpina A/S,DK,DKK,CO,Industrials,Integrated Freight & Logistics,DK0060079531,,CO,industrials,152023000000.0,152023000000.0,DK0060079531
IBE,MC,96,2000-06-30,2025-12-31,91,2001-12-31,2025-12-31,96,91,60,60,1,Iberdrola S.A.,ES,EUR,MC,Utilities,Utilities - Diversified,ES0144580Y14,,MC,energy,151936000000.0,151936000000.0,ES0144580Y14
SCA-B,ST,69,2009-03-31,2026-03-31,69,2009-03-31,2026-03-31,66,69,60,60,1,Svenska Cellulosa Aktiebolaget SCA (publ),SE,SEK,ST,Basic Materials,Paper & Paper Products,SE0000112724,,ST,industrials,150478000000.0,150478000000.0,SE0000112724
SCA-A,ST,69,2009-03-31,2026-03-31,69,2009-03-31,2026-03-31,66,69,60,60,1,Svenska Cellulosa Aktiebolaget SCA (publ),SE,SEK,ST,Basic Materials,Paper & Paper Products,SE0000171886,,ST,industrials,150478000000.0,150478000000.0,SE0000171886
ENI,XETRA,124,1995-03-31,2025-12-31,72,2008-03-31,2025-12-31,91,72,60,60,1,Eni S.p.A.,DE,EUR,XETRA,Energy,Oil & Gas Integrated,IT0003132476,,XETRA,energy,146532000000.0,146532000000.0,IT0003132476
SIE,XETRA,101,2000-12-31,2025-12-31,99,2001-06-30,2025-12-31,100,99,60,60,1,Siemens Aktiengesellschaft,DE,EUR,XETRA,Industrials,Specialty Industrial Machinery,DE0007236101,,XETRA,industrials,144751000000.0,144751000000.0,DE0007236101
EQNR,OL,102,2000-06-30,2025-12-31,101,2000-06-30,2025-12-31,101,101,60,60,1,Equinor ASA,NO,NOK,OL,Energy,Oil & Gas Integrated,NO0010096985,,OL,energy,137199000000.0,137199000000.0,NO0010096985
ELUX-A,ST,149,1989-03-31,2026-03-31,109,1999-03-31,2026-03-31,116,109,60,60,1,AB Electrolux (publ),SE,SEK,ST,Consumer Cyclical,"Furnishings, Fixtures & Appliances",SE0016589170,,ST,consumer,123251000000.0,123251000000.0,SE0016589170
ELUX-B,ST,149,1989-03-31,2026-03-31,109,1999-03-31,2026-03-31,116,109,60,60,1,AB Electrolux (publ),SE,SEK,ST,Consumer Cyclical,"Furnishings, Fixtures & Appliances",SE0016589188,,ST,consumer,123251000000.0,123251000000.0,SE0016589188
AIR,PA,98,2001-06-30,2025-12-31,97,2001-12-31,2025-12-31,98,97,60,60,1,Airbus Group SE,FR,EUR,PA,Industrials,Aerospace & Defense,NL0000235190,,PA,industrials,122757000000.0,122757000000.0,NL0000235190
SECU-B,ST,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,Securitas AB,SE,SEK,ST,Industrials,Security & Protection Services,SE0000163594,,ST,industrials,122244000000.0,122244000000.0,SE0000163594
BAYN,XETRA,100,2001-03-31,2025-12-31,100,2001-03-31,2025-12-31,97,100,60,60,1,Bayer AG NA,DE,EUR,XETRA,Healthcare,Drug Manufacturers - General,DE000BAY0017,,XETRA,healthcare,119881000000.0,119881000000.0,DE000BAY0017
SKF-B,ST,69,2009-03-31,2026-03-31,69,2009-03-31,2026-03-31,66,69,60,60,1,AB SKF (publ),SE,SEK,ST,Industrials,Tools & Accessories,SE0000108227,,ST,industrials,119386000000.0,119386000000.0,SE0000108227
SKF-A,ST,69,2009-03-31,2026-03-31,69,2009-03-31,2026-03-31,66,69,60,60,1,AB SKF (publ),SE,SEK,ST,Industrials,Tools & Accessories,SE0000108201,,ST,industrials,119386000000.0,119386000000.0,SE0000108201
EOAN,XETRA,112,1998-03-31,2025-12-31,100,2001-03-31,2025-12-31,100,100,60,60,1,E.ON SE,DE,EUR,XETRA,Utilities,Utilities - Diversified,DE000ENAG999,,XETRA,energy,113956000000.0,113956000000.0,DE000ENAG999
CARL-B,CO,65,2009-03-31,2025-12-31,65,2009-03-31,2025-12-31,62,65,57,57,1,Carlsberg A/S,DK,DKK,CO,Consumer Defensive,Beverages - Brewers,DK0010181759,,CO,consumer,112274000000.0,112274000000.0,DK0010181759
CARL-A,CO,65,2009-03-31,2025-12-31,65,2009-03-31,2025-12-31,62,65,57,57,1,Carlsberg A/S,DK,DKK,CO,Consumer Defensive,Beverages - Brewers,DK0010181676,,CO,consumer,112274000000.0,112274000000.0,DK0010181676
TEF,MC,152,1986-03-31,2025-12-31,94,1998-03-31,2025-12-31,128,94,60,60,1,Telefonica,ES,EUR,MC,Communication Services,Telecom Services,ES0178430E18,,MC,technology,104320000000.0,104320000000.0,ES0178430E18
RWE,XETRA,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,RWE AG,DE,EUR,XETRA,Utilities,Utilities - Diversified,DE0007037129,,XETRA,energy,103262000000.0,103262000000.0,DE0007037129
AZN,LSE,133,1993-03-31,2025-12-31,107,1999-09-30,2025-12-31,116,107,61,61,1,AstraZeneca PLC,GB,GBX,LSE,Healthcare,Drug Manufacturers - General,GB0009895292,,LSE,healthcare,102293000000.0,102293000000.0,GB0009895292
NOVN,SW,104,2000-03-31,2025-12-31,94,2002-09-30,2025-12-31,99,94,60,60,1,Novartis AG,CH,CHF,SW,Healthcare,Drug Manufacturers - General,CH0012005267,,SW,healthcare,94334000000.0,94334000000.0,CH0012005267
2M6,XETRA,162,1985-10-31,2026-01-31,145,1990-01-31,2026-01-31,150,145,60,60,1,Medtronic PLC,DE,EUR,XETRA,Healthcare,Medical Devices,IE00BTN1Y115,,XETRA,healthcare,90836000000.0,90836000000.0,IE00BTN1Y115
ORK,OL,97,2000-03-31,2025-12-31,95,2000-06-30,2025-12-31,97,95,60,60,1,Orkla ASA,NO,NOK,OL,Consumer Defensive,Packaged Foods,NO0003733800,,OL,consumer,88907000000.0,88907000000.0,NO0003733800
ULVR,LSE,161,1985-06-30,2025-12-31,121,1991-06-30,2025-12-31,119,121,57,58,1,Unilever PLC,GB,GBX,LSE,Consumer Defensive,Household & Personal Products,GB00BVZK7T90,,LSE,consumer,79832000000.0,79832000000.0,GB00BVZK7T90
SOBI,ST,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,Swedish Orphan Biovitrum AB (publ),SE,SEK,ST,Healthcare,Drug Manufacturers - Specialty & Generic,SE0000872095,,ST,healthcare,74518000000.0,74518000000.0,SE0000872095
SAP,XETRA,109,1999-03-31,2026-03-31,95,2001-09-30,2026-03-31,108,95,60,60,1,SAP SE,DE,EUR,XETRA,Technology,Software - Application,DE0007164600,,XETRA,technology,72915000000.0,72915000000.0,DE0007164600
